source_id,source_type,food_id,standard_content
1,Nutrient,166,4820.0
1,Nutrient,166,12300.0
1,Nutrient,167,4075.0
1,Nutrient,167,42000.0
1,Nutrient,169,2300.0
1,Nutrient,169,2721.25
1,Nutrient,170,4800.0
1,Nutrient,170,45216.05
1,Nutrient,173,2438.55
1,Nutrient,173,20000.0
1,Nutrient,174,1950.0
1,Nutrient,174,1650.0
1,Nutrient,174,20515.0
1,Nutrient,175,500.0
1,Nutrient,178,2487.1
1,Nutrient,179,14500.0
1,Nutrient,180,9000.0
1,Nutrient,180,600.0
1,Nutrient,180,4000.0
1,Nutrient,180,6700.0
1,Nutrient,181,2780.0
1,Nutrient,181,1600.0
1,Nutrient,182,7438.0
1,Nutrient,182,47665.0
1,Nutrient,183,
1,Nutrient,183,7474.0
1,Nutrient,183,37950.0
1,Nutrient,184,30500.0
1,Nutrient,184,3100.0
1,Nutrient,186,6738.5
1,Nutrient,187,2000.0
1,Nutrient,187,2350.0
1,Nutrient,191,1441.5
1,Nutrient,192,3000.0
1,Nutrient,193,
1,Nutrient,193,31000.0
1,Nutrient,197,392.5
1,Nutrient,197,1879.0
1,Nutrient,198,571.15
1,Nutrient,199,2300.0
1,Nutrient,199,2800.0
1,Nutrient,199,1700.0
1,Nutrient,200,1214.7
1,Nutrient,200,1248.75
1,Nutrient,204,1945.4
1,Nutrient,204,13000.0
1,Nutrient,205,3252.95
1,Nutrient,205,4300.0
1,Nutrient,206,4200.0
1,Nutrient,264,3000.0
1,Nutrient,264,850.0
1,Nutrient,264,4900.0
1,Nutrient,284,7075.0
1,Nutrient,284,36600.0
1,Nutrient,288,3850.0
1,Nutrient,289,2770.5
1,Nutrient,291,350.0
1,Nutrient,312,1770.0
1,Nutrient,312,7695.0
1,Nutrient,313,1812.5
1,Nutrient,318,383.5
1,Nutrient,320,57972.2
1,Nutrient,322,234.25
1,Nutrient,322,48770.0
1,Nutrient,326,900.0
1,Nutrient,326,200.0
1,Nutrient,328,1100.0
1,Nutrient,330,2193.0
1,Nutrient,330,7715.0
1,Nutrient,330,15965.0
1,Nutrient,331,800.0
1,Nutrient,331,22900.0
1,Nutrient,332,4052.0
1,Nutrient,332,13050.0
1,Nutrient,337,900.0
1,Nutrient,338,1227.5
1,Nutrient,338,2457.75
1,Nutrient,341,38870.0
1,Nutrient,345,2977.75
1,Nutrient,346,18350.0
1,Nutrient,360,4090.0
1,Nutrient,368,8100.0
1,Nutrient,368,2626.0
1,Nutrient,372,
1,Nutrient,372,2701.0
1,Nutrient,384,947.5
1,Nutrient,384,4250.0
1,Nutrient,384,28573.0
1,Nutrient,384,3980.0
1,Nutrient,386,334.1
1,Nutrient,386,924.4
1,Nutrient,387,1200.0
1,Nutrient,389,610.0
1,Nutrient,389,613.25
1,Nutrient,391,970.0
1,Nutrient,392,477.5
